id,name,code,type
1,AKSRI,80322,COMMUNITY
2,AMSKROUD,80302,COMMUNITY
3,AOURIR,80750,COMMUNITY
4,AZIAR,80325,COMMUNITY
5,BENSERGAO,80007,COMMUNITY
6,DRARGUA,80044,COMMUNITY
7,IDMINE,80323,COMMUNITY
8,IMOUZZER IDA OU TANANE,80303,COMMUNITY
9,IMSOUANE,80043,COMMUNITY
10,SEBT ASSAKA,80522,COMMUNITY
11,TAALAT,80102,COMMUNITY
12,TADRART,80326,COMMUNITY
13,TAGHAZOUTE,80022,COMMUNITY
14,TAMRAGHT,80023,COMMUNITY
15,TAMRI,80502,COMMUNITY
16,TIKIOUINE,80652,COMMUNITY
17,TIQQI,80324,COMMUNITY
18,ABADOU,42072,COMMUNITY
19,AGHBALOU,42472,COMMUNITY
20,AGHBAR,42153,COMMUNITY
21,AGHOUATIM,42304,COMMUNITY
22,AIT AADEL,42073,COMMUNITY
23,AIT FASKA,42082,COMMUNITY
24,AIT HKIM AIT YZID,42053,COMMUNITY
25,AIT OURIR,42050,COMMUNITY
26,AIT SIDI DAOUD,42083,COMMUNITY
27,AMGHRAS,42104,COMMUNITY
28,AMIZMIZ,42103,COMMUNITY
29,ANOUGAL,42124,COMMUNITY
30,ARBAA TIRHEDOUINE,42074,COMMUNITY
31,ASNI,42152,COMMUNITY
32,AZGOUR,42122,COMMUNITY
33,DAR JAMAA,42105,COMMUNITY
34,GHMATE,42252,COMMUNITY
35,HAD ABADALLAH GHIATE,40066,COMMUNITY
36,HAD ZERKTEN,42075,COMMUNITY
37,IGHIL,42154,COMMUNITY
38,IGOUDAR,42402,COMMUNITY
39,IGUERFEROUANE,42054,COMMUNITY
40,IJOUKAK,42155,COMMUNITY
41,IMGDAL,42172,COMMUNITY
42,LALLA TAKARKOUSTE,42202,COMMUNITY
43,MOULAY BRAHIM,42174,COMMUNITY
44,OUAZGUITA,42106,COMMUNITY
45,OUIRGANE,42173,COMMUNITY
46,OUKAIMEDEN,40273,COMMUNITY
47,OULAD MTAA,42112,COMMUNITY
48,SIDI BADHAJ,42113,COMMUNITY
49,STI FADMA,42303,COMMUNITY
50,TADDART,42076,COMMUNITY
51,TAHANAOUTE,42302,COMMUNITY
52,TAMAGUERT,42055,COMMUNITY
53,TAMAZOUZTE,42272,COMMUNITY
54,TAMESLOUHTE,42312,COMMUNITY
55,TAZZARTE,42084,COMMUNITY
56,TIDILI MESFIOUA,42085,COMMUNITY
57,TIZGUINE,42102,COMMUNITY
58,TLETA NYACOUB,42353,COMMUNITY
59,TNINE OURIKA,42452,COMMUNITY
60,TOUAMA,42086,COMMUNITY
61,ABDELGHAYA SOUAHEL,32354,COMMUNITY
62,AIN BENABBOU,32372,COMMUNITY
63,AIT KAMRA,32022,COMMUNITY
64,AIT YOUSSEF OU ALI,32003,COMMUNITY
65,AJDIR,35052,COMMUNITY
66,ARBAA TAOURIRT,32004,COMMUNITY
67,BENI GMIL MESTASSA,32122,COMMUNITY
68,BNI ABDALLAH,32172,COMMUNITY
69,BNI AHMED IMOUKZAN,32355,COMMUNITY
70,BNI AMMART,32352,COMMUNITY
71,BNI BCHIR,32374,COMMUNITY
72,BNI BOUAYACH,32050,COMMUNITY
73,BNI BOUCHIBET,32356,COMMUNITY
74,BNI BOUFRAH,32102,COMMUNITY
75,BNI BOUNSAR,32373,COMMUNITY
76,BNI GMIL MAKSOULINE,32103,COMMUNITY
77,BNI HADIFA,32152,COMMUNITY
78,CHAKRANE,32023,COMMUNITY
79,IKAOUEN,32322,COMMUNITY
80,IMRABTEN,32202,COMMUNITY
81,IMZOUREN,32250,COMMUNITY
82,ISSAGUEN,32302,COMMUNITY
83,IZEMMOUREN,32024,COMMUNITY
84,KETAMA,32323,COMMUNITY
85,LOUTA,32033,COMMUNITY
86,MOULAY AHMED CHERIF,32362,COMMUNITY
87,NEKKOUR,32072,COMMUNITY
88,ROUADI,32006,COMMUNITY
89,SENADA,32013,COMMUNITY
90,SIDI BOUTMIM,32363,COMMUNITY
91,SIDI BOUZINEB,32375,COMMUNITY
92,TABARANNT,32324,COMMUNITY
93,TAGHZOUT,32325,COMMUNITY
94,TAMSAOUT,32364,COMMUNITY
95,TARGUIST,32350,COMMUNITY
96,TIFAROUINE,32032,COMMUNITY
97,TIZI TCHEN,32326,COMMUNITY
98,TORRES DE ALCALA,32014,COMMUNITY
99,ZAOUIAT SIDI ABDELKADER,32026,COMMUNITY
100,ZARKAT,32034,COMMUNITY
101,ZARKT,32365,COMMUNITY
102,AGHOUINITE,74003,COMMUNITY
103,AOUSSERD,74002,COMMUNITY
104,BIR GANDOUZ,74004,COMMUNITY
105,LAGOUIRA,74005,COMMUNITY
106,TICHLA,74006,COMMUNITY
107,ZOUG,74012,COMMUNITY
108,AL MAHBASS,81036,COMMUNITY
109,AOUINT LAHNA,81212,COMMUNITY
110,AOUINT YGHOMANE,81213,COMMUNITY
111,ASSA,81010,COMMUNITY
112,LABOUIRAT,81035,COMMUNITY
113,TOUIZGUI,81214,COMMUNITY
114,ZAG,81006,COMMUNITY
115,ABACHKOU,22472,COMMUNITY
116,AFOURER,22052,COMMUNITY
117,AGHBALOU ZAOUIA,22272,COMMUNITY
118,AGOUDI NLKHAIR,22013,COMMUNITY
119,AIT ABBAS,22006,COMMUNITY
120,AIT ATTAB,22102,COMMUNITY
121,AIT BLAL,22322,COMMUNITY
122,AIT BOU OULLI,22012,COMMUNITY
123,AIT MAJDEN,22303,COMMUNITY
124,AIT MAZIGH,22403,COMMUNITY
125,AIT MHAMED,22152,COMMUNITY
126,AIT OUARDA,22072,COMMUNITY
127,AIT OUMDIS,22304,COMMUNITY
128,AIT TAGUELLA,22572,COMMUNITY
129,AIT TAMEJOUTE,22522,COMMUNITY
130,AIT TAMLIL,22323,COMMUNITY
131,ANERGUI,22622,COMMUNITY
132,ANZOU,22324,COMMUNITY
133,ARBAA OU AOULA,22573,COMMUNITY
134,ARBAA OUAKABLI,22523,COMMUNITY
135,AZILAL,22000,COMMUNITY
136,BINE EL OUIDANE,22202,COMMUNITY
137,BNI AYAT,22652,COMMUNITY
138,BNI HASSANE,22372,COMMUNITY
139,BOUANTAR,22574,COMMUNITY
140,BZOU,22250,COMMUNITY
141,DEMNATE,22300,COMMUNITY
142,FOUM JEMAA,22353,COMMUNITY
143,IGMIR,22172,COMMUNITY
144,IMADAHEN,22273,COMMUNITY
145,IMLIL,22305,COMMUNITY
146,ISSEKSI,22406,COMMUNITY
147,KHEMIS MAJDEN,22575,COMMUNITY
148,MOULAY AISSA BEN DRISS,22252,COMMUNITY
149,OUAOUIZARHT,22402,COMMUNITY
150,OUZOUD,22576,COMMUNITY
151,RFALA,22274,COMMUNITY
152,SIDI BOULKHALF,22306,COMMUNITY
153,SIDI YACOUB,22312,COMMUNITY
154,SKATT,22022,COMMUNITY
155,TABANNT,22452,COMMUNITY
156,TABAROUCHT,22405,COMMUNITY
157,TABIA,22373,COMMUNITY
158,TAGUELFT,22502,COMMUNITY
159,TAMDA NOUMERCID,22014,COMMUNITY
160,TANANNT,22552,COMMUNITY
161,TAOUNZA,22122,COMMUNITY
162,TIDILI FETOUAKA,22325,COMMUNITY
163,TIFFERT NAIT HAMZA,22404,COMMUNITY
164,TIFNI,22326,COMMUNITY
165,TILOUGGUITE,22602,COMMUNITY
166,TISLIT,22352,COMMUNITY
167,TISQI,22253,COMMUNITY
168,TNINE TIMOULILT,22702,COMMUNITY
169,ZAOUIA AHENSAL,22002,COMMUNITY
170,AIT OUM EL BEKHT,23154,COMMUNITY
171,ARHBALA,23052,COMMUNITY
172,BOUTFARDA,23072,COMMUNITY
173,DOUAR AIT ALI,23376,COMMUNITY
174,EL BAZZAZA,23522,COMMUNITY
175,EL KRAZZA,23572,COMMUNITY
176,EL KSIBA,23150,COMMUNITY
177,FECHTALA,23272,COMMUNITY
178,FERYATA,23672,COMMUNITY
179,FOUM EL ANSER,23252,COMMUNITY
180,FOUM OUDI,23006,COMMUNITY
181,GHORM EL ALEM,23673,COMMUNITY
182,GUETTAYA,23372,COMMUNITY
183,KASBA TADLA,23350,COMMUNITY
184,LAAYAYTA,23022,COMMUNITY
185,LAHLALMA,23322,COMMUNITY
186,M'GHILA,23023,COMMUNITY
187,NAOUR,23155,COMMUNITY
188,OULAD ALI LOUED,23323,COMMUNITY
189,OULAD DRISS BRADIA,23324,COMMUNITY
190,OULAD GNAOUA,23156,COMMUNITY
191,OULAD HASSOUN,23225,COMMUNITY
192,OULAD SAID EL OUED,23373,COMMUNITY
193,OULED ABDELLAH,23226,COMMUNITY
194,OULED MBAREK,23452,COMMUNITY
195,OULED YAICHE,23502,COMMUNITY
196,OULED YOUSSEF,23374,COMMUNITY
197,SEMGUET,23375,COMMUNITY
198,SIDI AISSA,23574,COMMUNITY
199,SIDI JABER,23602,COMMUNITY
200,TAGHZIRT,23652,COMMUNITY
201,TANORHA,23674,COMMUNITY
202,TIZI NISLY,23073,COMMUNITY
203,ZAOUIAT CHEIKH,23700,COMMUNITY
204,ZOUAIR,23523,COMMUNITY
205,AHLAF,13322,COMMUNITY
206,AIN TIZGHA,13016,COMMUNITY
207,BENNABET,13022,COMMUNITY
208,BENSLIMANE,13000,COMMUNITY
209,BESSABES,13023,COMMUNITY
210,BIR ENNASR,13103,COMMUNITY
211,BOUZNIKA,13100,COMMUNITY
212,CHERRAT,13104,COMMUNITY
213,EL KRASSI,13024,COMMUNITY
214,EL MANSOURIA,13072,COMMUNITY
215,FEDALATE,13003,COMMUNITY
216,MELLILA,13202,COMMUNITY
217,MOUALINE EL GHABA,13013,COMMUNITY
218,MOULAINE EL OUED,13033,COMMUNITY
219,OULAD ALI TOUALAA,13014,COMMUNITY
220,OULAD YAHYA LOUTA,13012,COMMUNITY
221,RDADNA OULAD MALEK,13015,COMMUNITY
222,SIDI BETTACHE,13162,COMMUNITY
223,SOUALEM ET TIRS,13032,COMMUNITY
224,TNINE OULAD ALI,13025,COMMUNITY
225,ZIAIDA,13026,COMMUNITY
226,OULAD YAHYA LOUTA,13035,COMMUNITY
227,AHFIR,63050,COMMUNITY
228,AIN ERREGGADA,63200,COMMUNITY
229,AKLIM,63250,COMMUNITY
230,ARHBAL,63072,COMMUNITY
231,BOUGHRIBA,63254,COMMUNITY
232,CHOUIHIA,63253,COMMUNITY
233,FEZOUANE,63053,COMMUNITY
234,LAATAMNA,63054,COMMUNITY
235,LAATMNA,63324,COMMUNITY
236,MADAGH,63303,COMMUNITY
237,RISLANE,63672,COMMUNITY
238,SAIDIA,63600,COMMUNITY
239,SIDI BOUHOURIA,63652,COMMUNITY
240,SIDI SLIMANE ECHCHARRAA,63255,COMMUNITY
241,TAFORHALT,63752,COMMUNITY
242,ZAYEST,63322,COMMUNITY
243,ZEGZEL,63323,COMMUNITY
244,EL GARA,26300,COMMUNITY
245,FOQRA OULAD AAMEUR,26303,COMMUNITY
246,HAD SOUALEM,26402,COMMUNITY
247,JAQMA,26304,COMMUNITY
248,KASBAT BEN MCHICH,26305,COMMUNITY
249,LAHSASNA,26106,COMMUNITY
250,LAKHIAITA,26112,COMMUNITY
251,LAMBARKIYINE,26306,COMMUNITY
252,OULAD ABBOU,26450,COMMUNITY
253,OULAD CEBBAH,26116,COMMUNITY
254,RIAH,26122,COMMUNITY
255,SIDI ABDELKHALEQ,26113,COMMUNITY
256,SIDI EL MEKKI,26114,COMMUNITY
257,SOUALEM TRIFIA,26115,COMMUNITY
258,ZAOUIAT BEN HAMDOUNE,24232,COMMUNITY
259,SAHEL OULAD H'RIZ,26124,COMMUNITY
260,MENGOUB,61223,COMMUNITY
261,AIT AHMAD OU HADDOU,61122,COMMUNITY
262,BOUJDOUR,71000,COMMUNITY
263,GUELTAT ZEMMOUR,71004,COMMUNITY
264,JRAIFIA,71003,COMMUNITY
265,LAMSSID,71005,COMMUNITY
266,ACHLOUJ,33022,COMMUNITY
267,AIT ABDALLAH BOUKHAMOUJ,33122,COMMUNITY
268,AIT BAZZA,33172,COMMUNITY
269,AIT EL MANE,33173,COMMUNITY
270,AIT HAMZA,33052,COMMUNITY
271,ALMIS GUIGOU,33053,COMMUNITY
272,ALMIS MARMOUCHA,33174,COMMUNITY
273,BOULEMANE,33000,COMMUNITY
274,EL MERS,33102,COMMUNITY
275,EL ORJANE,33324,COMMUNITY
276,ENJIL,33002,COMMUNITY
277,ENJIL AIT LAHCEN,33023,COMMUNITY
278,ERMILA,33006,COMMUNITY
279,FRITISSA,33322,COMMUNITY
280,IFKIRNE,33024,COMMUNITY
281,IMOUZZER MARMOUCHA,33152,COMMUNITY
282,KSABI,33202,COMMUNITY
283,KSABI MOULOUYA,33254,COMMUNITY
284,MISSOUR,33250,COMMUNITY
285,OUAOULZEMT,33175,COMMUNITY
286,OUIZEGHT,33273,COMMUNITY
287,OULAD ALI YOUSSEF,33013,COMMUNITY
288,OULAD SGHIR,33272,COMMUNITY
289,OULED ALI,33302,COMMUNITY
290,OUTAT EL HAJ,33300,COMMUNITY
291,SERGHINA,33005,COMMUNITY
292,SIDI BOUTAYEB,33255,COMMUNITY
293,SKOURA MDAZ,33012,COMMUNITY
294,TAFRAOUTE AIT ALI OULAHCEN,33025,COMMUNITY
295,TAGHROUTE,33372,COMMUNITY
296,TALZEMT,33176,COMMUNITY
297,TINDIT,33303,COMMUNITY
298,TISSAF,33323,COMMUNITY
299,AMTAR,91173,COMMUNITY
300,ASIFANE,91023,COMMUNITY
301,BAB BERRET,91052,COMMUNITY
302,BAB TAZA,91002,COMMUNITY
303,BENI BOUZRA,91034,COMMUNITY
304,BENI RZEN,91025,COMMUNITY
305,BENI SELMANE,34035,COMMUNITY
306,BNI AHMED,91102,COMMUNITY
307,BNI AHMED GHARBIA,91123,COMMUNITY
308,BNI DARKOUL,91005,COMMUNITY
309,BNI FAGHLOUM,91006,COMMUNITY
310,BNI MANSOUR,91055,COMMUNITY
311,BNI RZINE,91062,COMMUNITY
312,BNI SALAH,91012,COMMUNITY
313,BNI SELMANE,91063,COMMUNITY
314,BNI SMIH,91172,COMMUNITY
315,CHEFCHAOUEN,91000,COMMUNITY
316,DERDERA,91042,COMMUNITY
317,DERKOUL,91032,COMMUNITY
318,EL MELHA,91122,COMMUNITY
319,FIFI,91033,COMMUNITY
320,HAD RHDIR KROUCH,91043,COMMUNITY
321,IOUANE,91073,COMMUNITY
322,JEBHA,91153,COMMUNITY
323,KAA ASRASS,91035,COMMUNITY
324,LAGHDIR,91013,COMMUNITY
325,MANSOURA,91124,COMMUNITY
326,MTIOUA,91054,COMMUNITY
327,OUAOUZGANE,91174,COMMUNITY
328,STEHA,91003,COMMUNITY
329,TALEMBOTE,91044,COMMUNITY
330,TAMOROTE,91072,COMMUNITY
331,TANACOB,91045,COMMUNITY
332,TASSIFT,91036,COMMUNITY
333,TIZGANE,91056,COMMUNITY
334,TLATA ASSIFANE,91046,COMMUNITY
335,ADASSIL,41232,COMMUNITY
336,AFALLA ISSEN,41084,COMMUNITY
337,AHDIL,41025,COMMUNITY
338,AIN TAZITOUNTE,41053,COMMUNITY
339,AIT HADDOU YOUSSEF,41054,COMMUNITY
340,AIT HADI,41102,COMMUNITY
341,ARBAA DOUIRANE,41202,COMMUNITY
342,ASSERRATOU,41072,COMMUNITY
343,ASSIF EL MAL,42123,COMMUNITY
344,BOUABOUTE,41073,COMMUNITY
345,BOULAOUANE,41222,COMMUNITY
346,CHICHAOUA,41000,COMMUNITY
347,GUEMASSA,41223,COMMUNITY
348,HAD MJATT,41224,COMMUNITY
349,ICHAMRAREN,41083,COMMUNITY
350,IMINDOUNIT,41233,COMMUNITY
351,IMINTANOUTE,41050,COMMUNITY
352,IROHALEN,41055,COMMUNITY
353,KOUZEMT,41006,COMMUNITY
354,LALLA AZIZA,41074,COMMUNITY
355,MZOUDIA,41022,COMMUNITY
356,NFIFA,41056,COMMUNITY
357,OUAD LBOUR,41082,COMMUNITY
358,OULAD MOUMNA,41003,COMMUNITY
359,RAHHALA,41012,COMMUNITY
360,SAIDATE,41023,COMMUNITY
361,SEBT MZOUDA,41225,COMMUNITY
362,SIDI ABDELMOUMEN,41013,COMMUNITY
363,SIDI BOUZID ARRAGRAGUI,41014,COMMUNITY
364,SIDI MHAMED DALIL,41004,COMMUNITY
365,SIDI MOKHTAR,41152,COMMUNITY
366,TAOULOUKOUT,41075,COMMUNITY
367,TIMEZGUADIOUINE,41076,COMMUNITY
368,TIMLILT,41005,COMMUNITY
369,ZAOUIA NOUACEUR,41024,COMMUNITY
370,ZAOUIAT ANNAHLIA,41226,COMMUNITY
371,AGUERD NTEZKE,87422,COMMUNITY
372,AIT AMIRA,87052,COMMUNITY
373,AIT BAHA,87100,COMMUNITY
374,AIT MZAL,87104,COMMUNITY
375,AIT OUADRIM,87132,COMMUNITY
376,AOUGUENZ,87105,COMMUNITY
377,BIOUGRA,87200,COMMUNITY
378,HAD AIT BELFAA,87252,COMMUNITY
379,HAD TARGA NTOUCHKA,87122,COMMUNITY
380,HALLATE,87123,COMMUNITY
381,IMHILEN,87423,COMMUNITY
382,IMI EL HAD TASGUEDELFT,87124,COMMUNITY
383,IMI MQOURN,87222,COMMUNITY
384,INCHADEN,87272,COMMUNITY
385,JEMAA TAKOUCHTE,87125,COMMUNITY
386,KHEMIS AIT MOUSSA,87133,COMMUNITY
387,KHMIS IDA OU GNIDIF,87402,COMMUNITY
388,MASSA,87452,COMMUNITY
389,MASSA TASSILA,87473,COMMUNITY
390,OUED ESSAFA,87223,COMMUNITY
391,SEBT AIT MILK,87273,COMMUNITY
392,SIDI ABDELLAH EL BOUCHOUARI,87126,COMMUNITY
393,SIDI BIBI,87274,COMMUNITY
394,SIDI BOUAZ,87112,COMMUNITY
395,SIDI BOUSHAB,87203,COMMUNITY
396,SIDI OUASSAY,87135,COMMUNITY
397,SIDI RBAT,87472,COMMUNITY
398,TANALT,87552,COMMUNITY
399,TIMEZGUIDA OUASRIR,87113,COMMUNITY
400,TLATA OU GUENZ,80572,COMMUNITY
401,TNINE HILALA,80700,COMMUNITY
402,AIN ZORAH,62252,COMMUNITY
403,BEN TIB,62102,COMMUNITY
404,KACETA,62522,COMMUNITY
405,AJERMOUNAS,62422,COMMUNITY
406,AMEJJAOU,62255,COMMUNITY
407,AZLAF,62256,COMMUNITY
408,BNI MARGHNINE,62044,COMMUNITY
409,BOUDINAR,62152,COMMUNITY
410,DAR KEBDANI,62202,COMMUNITY
411,DRIOUCH,62253,COMMUNITY
412,IFERNI,62045,COMMUNITY
413,KHEMIS TEMSAMANE,62402,COMMUNITY
414,MHAJER,62452,COMMUNITY
415,MIDAR,62502,COMMUNITY
416,MTALSSA,62263,COMMUNITY
417,OUARDANA,62046,COMMUNITY
418,OULAD AMGHAR,62172,COMMUNITY
419,OULAD BOUBKER,62272,COMMUNITY
420,TAFERSITE,62752,COMMUNITY
421,TALILIT,62123,COMMUNITY
422,TAZAGHINE,62262,COMMUNITY
423,TIZIRHINE,62122,COMMUNITY
424,TLETA TAZLAFT,62523,COMMUNITY
425,TROUGOUT,62053,COMMUNITY
426,TROUKOUT,32253,COMMUNITY
427,TSAFT,62054,COMMUNITY
428,AGOURAI,51050,COMMUNITY
429,AIN TAOUJDATE,51100,COMMUNITY
430,AIT BOUBIDMANE,51103,COMMUNITY
431,AIT BOURZOUINE,51005,COMMUNITY
432,AIT HARZ ALLAH,51104,COMMUNITY
433,AIT NAAMANE,51006,COMMUNITY
434,AIT OUIKHALFEN,51054,COMMUNITY
435,AIT YAAZEM,51025,COMMUNITY
436,BITTIT,51123,COMMUNITY
437,BOUDERBALA,51026,COMMUNITY
438,EL HAJEB,51000,COMMUNITY
439,IQADDAR,51012,COMMUNITY
440,LAQSIR,51124,COMMUNITY
441,RAS JERRI,51032,COMMUNITY
442,SABAA AIYOUN,51150,COMMUNITY
443,SEBT JEHJOUH,51052,COMMUNITY
444,TAMCHACHATE,51055,COMMUNITY
445,ARBAA CHTOUKA,24172,COMMUNITY
446,AZEMMOUR,24100,COMMUNITY
447,BIR JDID,24150,COMMUNITY
448,BOUCEDRA,24122,COMMUNITY
449,CHAIBATE,24403,COMMUNITY
450,HAOUZIA,24123,COMMUNITY
451,JORF LASFAR,24025,COMMUNITY
452,KHEMIS DES ZEMAMRA,24200,COMMUNITY
453,KHEMIS MTOUH,24322,COMMUNITY
454,LAAOUISSATE,24222,COMMUNITY
455,LAGHDIRA,24104,COMMUNITY
456,LAMHARZA ESSAHEL,24105,COMMUNITY
457,LAMNAKRA EL HADDADA,24224,COMMUNITY
458,MHAIOULA,24124,COMMUNITY
459,MOGRESS,24404,COMMUNITY
460,MOULAY ABDELLAH,24003,COMMUNITY
461,OULAD AISSA,24022,COMMUNITY
462,OULAD BEN CHAOUI,24225,COMMUNITY
463,OULAD HAMDANE,24323,COMMUNITY
464,OULAD HASSINE,24023,COMMUNITY
465,OULAD RAHMOUNE,24106,COMMUNITY
466,OULAD RHANEM,24272,COMMUNITY
467,OULAD SIDI ALI BEN YOUSSEF,24324,COMMUNITY
468,OULED FREJ,24302,COMMUNITY
469,OULJA DES CHIADMA,24173,COMMUNITY
470,SANIAT BENRKIK,24226,COMMUNITY
471,SEBT SAISS,24422,COMMUNITY
472,SI HSAIEN BEN ABDERRAHMANE,24405,COMMUNITY
473,SIDI ABED,24032,COMMUNITY
474,SIDI ALI BEN HAMDOUCHE,24112,COMMUNITY
475,SIDI BOUZID,24005,COMMUNITY
476,SIDI MHAMED AKHDIM,24034,COMMUNITY
477,SIDI MOUSSA PLAGE,24024,COMMUNITY
478,SIDI SMAIL,24402,COMMUNITY
479,TLETA BOULAOUANE,24074,COMMUNITY
480,TNINE CHTOUKA,24175,COMMUNITY
481,ZAOUIAT LAKOUACEM,24406,COMMUNITY
482,ZAOUIAT SAISS,24412,COMMUNITY
483,LAATAMNA,43114,COMMUNITY
484,OULAD BOUALI LOUED,43035,COMMUNITY
485,SIDI MOUSSA,43036,COMMUNITY
486,BOUYA OMAR,43122,COMMUNITY
487,CHOARA,43112,COMMUNITY
488,CHTAIBA,43073,COMMUNITY
489,DECHRA,43074,COMMUNITY
490,DZOUZ,43123,COMMUNITY
491,EJJOUALA,43472,COMMUNITY
492,EL AAMRIA,43052,COMMUNITY
493,EL KELAA DES SRAGHNA,43000,COMMUNITY
494,EL MARBOUH,43006,COMMUNITY
495,ERRAFIAYA,43012,COMMUNITY
496,HAD FRAITA,43124,COMMUNITY
497,HIADNA,43034,COMMUNITY
498,JBIEL,43473,COMMUNITY
499,LAATMNA SRARHNA,43125,COMMUNITY
500,LAATTAOUIA,43100,COMMUNITY
501,LAATTAOUIA ECH CHAYBIA,43102,COMMUNITY
502,LOUAD LAKHDAR,43272,COMMUNITY
503,MAYATE,43023,COMMUNITY
504,MZEM SANHAJA,43103,COMMUNITY
505,OUARGUI,43273,COMMUNITY
506,OULAD AAMER,43076,COMMUNITY
507,OULAD AARRAD,43104,COMMUNITY
508,OULAD CHERKI,43013,COMMUNITY
509,OULAD EL GARNE,43014,COMMUNITY
510,OULAD KHALLOUF,43105,COMMUNITY
511,OULAD MASSAOUD,43015,COMMUNITY
512,OULAD MSABBEL,43083,COMMUNITY
513,OULAD SBIH,43016,COMMUNITY
514,OULAD ZARRAD,43026,COMMUNITY
515,SAHRIJ,43252,COMMUNITY
516,SEBT OUNASDASS,43025,COMMUNITY
517,SIDI AISSA BEN SLIMANE,43274,COMMUNITY
518,SIDI EL HATTAB,43082,COMMUNITY
519,SIDI RAHHAL,43350,COMMUNITY
520,SOUR EL AAZ,43106,COMMUNITY
521,TAMALLALT,43450,COMMUNITY
522,TAOUZINT,43032,COMMUNITY
523,ZEMRANE,43372,COMMUNITY
524,ZEMRANE CHERQIA,43474,COMMUNITY
525,ZNADA,43033,COMMUNITY
526,AIN IGLI,43072,COMMUNITY
527,EL HYDANA,43022,COMMUNITY
528,JEMAA EL MA BARED,43172,COMMUNITY
529,OULAD YACOUB,43024,COMMUNITY
530,PONT TASSAOUTE,43075,COMMUNITY
531,SIDI DRISS,43275,COMMUNITY
532,TLETA MZEM,43276,COMMUNITY
533,AARAB SEBBAH GHERIS,52204,COMMUNITY
534,ACHBAROU,52482,COMMUNITY
535,AIT OTHMAN,52022,COMMUNITY
536,AIT YAHYA,52406,COMMUNITY
537,AMELAGO,52272,COMMUNITY
538,AOUFOUS,52053,COMMUNITY
539,ARFOUD,52200,COMMUNITY
540,ARHBALOU NKERDOUSS,52622,COMMUNITY
541,ASRIR OUED FERKLA,52002,COMMUNITY
542,BNI MHAMMED,52472,COMMUNITY
543,BOUDNIB,52150,COMMUNITY
544,CHORFA MDARHRA,52023,COMMUNITY
545,DOUIRA,52072,COMMUNITY
546,ER RTEB,52016,COMMUNITY
547,FAZNA,52372,COMMUNITY
548,FERKLA EL OULIA,52254,COMMUNITY
549,FERKLA ES SOUFLA,52255,COMMUNITY
550,GHERIS EL OULOUI,52256,COMMUNITY
551,GHERIS ES SOUFLI,52262,COMMUNITY
552,GOULMIMA,52250,COMMUNITY
553,HANNABOU,52225,COMMUNITY
554,JORF,52350,COMMUNITY
555,KHENG,52024,COMMUNITY
556,KSAR SAHLI,52172,COMMUNITY
557,MELLAB,52602,COMMUNITY
558,MERZOUGA,52202,COMMUNITY
559,MESKI,52025,COMMUNITY
560,MFISS,52222,COMMUNITY
561,MOULAY ALI CHERIF,52015,COMMUNITY
562,OUED NAAM,52014,COMMUNITY
563,OULAD CHAKER,52073,COMMUNITY
564,RISSANI,52450,COMMUNITY
565,SEFFALATE,52453,COMMUNITY
566,SIDI ALI,52455,COMMUNITY
567,SIDI ALI TAFRAOUT,52475,COMMUNITY
568,SIFA ARAB SEBBAH ZIZ,52223,COMMUNITY
569,TADIRHOUST,52502,COMMUNITY
570,TAMHRACH RHERISS,52273,COMMUNITY
571,TAOUZ,52224,COMMUNITY
572,TAZOUGARTE,52173,COMMUNITY
573,TILOUINE,52252,COMMUNITY
574,TIMEZGUITE,52522,COMMUNITY
575,TINEJDAD,52600,COMMUNITY
576,TOUROUG,52623,COMMUNITY
577,ZRIGATE,52052,COMMUNITY
578,JBIYEL,52476,COMMUNITY
579,AMGALA,72005,COMMUNITY
580,HAOUZA,72006,COMMUNITY
581,JDIRIYA,72012,COMMUNITY
582,SIDI AHMED LAAROUSS,72013,COMMUNITY
583,SMARA,72000,COMMUNITY
584,TIFARITI,72014,COMMUNITY
585,ADAGHAS,44236,COMMUNITY
586,AGLIF,44204,COMMUNITY
587,AGUERD,44205,COMMUNITY
588,AIN ZELTEN,44273,COMMUNITY
589,AIT AISSI IHAHANE,44206,COMMUNITY
590,AIT DAOUD,44060,COMMUNITY
591,AIT SAID,44012,COMMUNITY
592,AKERMOUD,44126,COMMUNITY
593,ARBAA IDA OU TROUMA,44222,COMMUNITY
594,ARBAA IDA OUGOURD,44005,COMMUNITY
595,ASSAIS,44083,COMMUNITY
596,BIZDAD,44252,COMMUNITY
597,BOUZEMMOUR,44212,COMMUNITY
598,EZZAOUITE,44213,COMMUNITY
599,HAD DRAA,44003,COMMUNITY
600,HAD MRAMER,44122,COMMUNITY
601,IDA OU GUELLOUL,44223,COMMUNITY
602,IDA OU KAZZOU,44226,COMMUNITY
603,IDA OUAZZA,44072,COMMUNITY
604,IMGRADE,44214,COMMUNITY
605,KECHOULA,44013,COMMUNITY
606,KHEMIS MESKALA,44274,COMMUNITY
607,KHEMIS TAKATE,44132,COMMUNITY
608,LAGDADRA,44014,COMMUNITY
609,LAHSINATE,44015,COMMUNITY
610,LAMZILATE,44123,COMMUNITY
611,MEJJI,44124,COMMUNITY
612,MKHALIF,44016,COMMUNITY
613,MOUARID,44276,COMMUNITY
614,MOULAY BOUZARQTOUNE,44022,COMMUNITY
615,OULAD MRABET,44023,COMMUNITY
